Particulars,Outstanding for the following period from due date of payments,,,,,
,Not Due,Less than 1 year,1-2 years,2-3 years,"More than 03
Years",Total
(I) Micro and Small Enterprises,7 0.02,14.51,-,-,-,8 4.53
(II) Others (including Acceptances),"4 ,059.03",654.65,1 1.02,5.50,0.16,"4 ,730.36"
(III) Disputed dues - Micro and Small Enterprises,-,-,-,-,-,-
(IV) Disputed dues -Others,-,-,-,-,-,-
Total,"4,129.05",669.16,1 1.02,5.50,0.16,"4,814.89"
