"Trade Receivables Ageing As at March 31, 2025",Outstanding for the following period from due date of payment,,,,,,
,Not Due,"Less than 06
months",06 months -1 Year,1-2 Years,2-3 Years,More than 03 Years,Total
(I) Undisputed Trade Receivables - Considered Good,"2,448.61","1,244.15",39.34,1 3.83,2.38,0.52,"3 ,748.83"
"(II) Undisputed Trade Receivables - Which have
significant increase in credit risk",-,0.06,27.05,4 8.26,67.30,134.95,2 77.62
(III) Undisputed Trade receivables - Credit impaired,-,-,-,-,-,-,-
(IV) Disputed Trade Receivables - Considered Good,-,-,-,-,-,-,-
"(V) Disputed Trade Receivables - Which have significant
increase in credit risk",-,-,0.13,1 3.26,5.75,69.11,8 8.25
(VI) Disputed Trade Receivables - Credit impaired,-,-,-,-,-,-,-
Gross Trade Receivables,"2,448.61","1,244.21",66.52,7 5.35,75.43,204.58,"4 ,114.70"
Less: Provision for expected credit loss,-,-,-,-,-,-,2 40.18
Net Trade Receivable,,,,,,,"3 ,874.52"
