Particulars,For the six,Fiscal 2025#,Fiscal 2024#,Fiscal 2023#
,months period,,,
,ended,,,
,"September 30,",,,
,2025,,,
Basic Earnings per Equity Share from Continuing Operations,21.22*,21.20,13.49,4.20
Diluted Earnings per Equity Share from Continuing Operations,21.22*,21.20,13.49,4.20
Return on Net Worth (%),15.62%,18.38%,15.00%,4.79%
Net asset value per equity share (₹),135.80,115.34,94.94,88.18
EBITDA (₹ million),"1,388.56","1,640.33","1,304.05",812.82
