Particulars,"As at
September 30, 2025","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
"Investment in Mutual Fund - measured at Fair Value through Profit and Loss Account (quoted)
Units of ICICI Prudential Short Term Fund - Growth Option having face value of Rs.10 each (No. of Units 19,51,516.01)
(March 31, 2025: 12,36,196.79 units) (March 31, 2024: 12,36,196.79 units) (March 31, 2023: 3,14,376.58 units)*
Units of Aditya Birla Sun Life Savings Fund having face value of Rs.10 each (No. of Units 73,031.35) (March 31, 2025:
58,765.28 units) (March 31, 2024: Nil) (March 31, 2023: Nil)**
Units of Aditya Birla Sun Life Banking & PSU Debt Fund Growth Option having face value of Rs.10 each (Nil) (March
31, 2025: Nil) (March 31, 2024: 31,924.72 units) (March 31, 2023: 31,924.72 units)***","119.32
41.21
-","72.72
31.99
-","67.29
-
1 0.95","15.89
-
10.17"
Total,1 60.53,104.71,7 8.24,26.06
"Aggregate amount of quoted investments - At Cost
Aggregate amount of quoted investments - At market value","1 46.20
1 60.53","96.01
1 04.71","7 4.69
7 8.24","2 4.69
2 6.06"
