Particulars,"As at
September 30, 2025","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
"Trade Receivables considered good – Unsecured
Trade Receivables which have significant increase in Credit Risk
Less: Provision for expected credit loss (refer note below)","6,646.00
59.90
2 52.61","4,026.45
88.25
240.18","3,378.70
48.74
1 83.51","4,112.58
147.46
110.29"
Total,"6 ,453.29","3,874.52","3 ,243.93","4,149.75"
Trade Receivables from Related parties (refer note 39),162.82,209.43,209.53,-
