Particulars,Amount in intangible assets under development for a Period of,,,,Total
,Less than 01 Year,1-2 Years,2-3 Years,More than 03 Years,
Project in progress,,,,,
Patent,7.98,4.39,8.71,0.34,21.42
Registration **,72.31,5.40,-,-,77.71
Total,80.29,9.79,8.71,0.34,99.13
