Particulars,"For the period ended
September 30, 2025","For the year ended
March 31, 2025","For the year ended
March 31, 2024","For the year ended
March 31, 2023"
Short-term employee benefits,47.13,65.39,45.37,44.18
Post-employment benefits,1.04,0.91,0.91,0.86
Total,4 8.17,6 6.30,46.28,45.04
