Particulars,Amount in CWIP for a Period of,,,,Total
,Less than 01 Year,1-2 Years,2-3 Years,More than 03 Years,
Project in progress,251.30,143.04,1.13,5.55,401.02
Total,251.30,143.04,1.13,5.55,401.02
