Particulars of liabilities arising from financing activities,Note No.,"As at
April 1, 2022",Net cash flows,Non-cash Changes*,"As at
March 31, 2023"
Borrowings:,,,,,
Long-term borrowings,20(I),"1,385.04",( 92.56),-,"1,292.48"
Short-term borrowings,20(II),"1,817.30",1 32.79,-,"1,950.09"
Interest accrued but not due on borrowings,23,12.33,( 12.33),1 8.45,18.45
Total,,"3,214.67",27.90,18.45,"3,261.02"
