Particulars of liabilities arising from financing activities,Note No.,"As at
April 1, 2025",Net cash flows,Non-cash Changes*,"As at
September 30, 2025"
Borrowings:,,,,,
Long-term borrowings,20(I),"1,047.72",( 119.65),-,928.07
Short-term borrowings,20(II),"1,908.31",3 74.90,-,"2,283.21"
Interest accrued but not due on borrowings,23,16.02,( 16.02),1 0.40,10.40
Lease Liabilities,42,11.79,( 2.08),8 .17,17.88
Total,,"2,983.84",237.15,18.57,"3,239.56"
