Particulars of liabilities arising from financing activities,Note No.,"As at
April 1, 2023",Net cash flows,Non-cash Changes*,"As at
March 31, 2024"
Borrowings:,,,,,
Long-term borrowings,20(I),"1,292.48",( 500.12),-,792.36
Short-term borrowings,20(II),"1,950.09",( 388.06),-,"1,562.03"
Interest accrued but not due on borrowings,23,18.45,( 18.45),1 3.33,13.33
Lease Liabilities,42,-,( 1.81),1 3.80,11.99
Total,,"3,261.02",( 908.44),27.13,"2,379.71"
