Year,Revenue,Profit,TotalAssets,TotalLiabilities,Equity,TotalDebt
2023,446.2,4577.17,1072.0,,33167.5,7571.18
2024,526.55,-8054.5,10890.09,,25426.36,20681.1
2025,689.29,18243.73,12520.98,,48553.47,15964.86
