Particulars,,As at and for,,,,,,
,,6 months,,"Financial year
ended March
31, 2025","Financial year
ended March
31, 2024","Financial year
ended March
31, 2023",Financial year,
,,ended,,,,,ended March,
,,"September 30,",,,,,"31, 2023",
,,2025,,,,,,
Earnings per share (basic)(1)(3) (in ₹),2.64*,,,4.26,1.89,3.23,,
Earnings per share (diluted)(2)(3) (in ₹),2.64*,,,4.26,1.89,3.23,,
Return on net worth(4)(5) (%),11.96*,,,21.46,23.99,53.91,,
Net asset value per Equity Share (in ₹)(6),22.07,,,19.82,7.88,5.99,,
EBITDA(7) (in ₹ million),700.84,,,"1,176.47",649.36,634.56,,
