,,,Net Addition,Other Adjustments,
Lease liabilities (non-current and current liabilities) (Refer note 5),312.86,(77.18),1 8.02,50.22,303.92
Borrowings (Refer note 14 (A)),"2,304.87","1,001.40",-,-,"3,306.27"
,"2,617.73",924.22,18.02,50.22,"3,610.19"
