Particulars,Outstanding for following periods from transaction date,Total
,"Less than 6 6 months - 1 1-2 years 2-3 years More than 3 years
Months year",
"Undisputed
- Considered good
- Significant increase in credit risk
- Credit impaired
Disputed
- Considered good
- Significant increase in credit risk
- Credit impaired","1,667.04 100.78 1.32 - -
- - - - -
- - - - -
- - - - -
- - - - -
- - - - -","1,769.14
-
-
-
-
-"
Total,"1 ,667.04 1 00.78 1 .32 - - 1 ,769.14",
Particulars,Outstanding for following periods from transaction date,Total
,"Less than 6 6 months - 1 1-2 years 2-3 years More than 3 years
Months year",
"Undisputed
- Considered good
- Significant increase in credit risk
- Credit impaired
Disputed
- Considered good
- Significant increase in credit risk
- Credit impaired","1,255.51 24.75 0.39 - -
- - - - -
- - - - -
- - - - -
- - - - -
- - - - -","1,280.65
-
-
-
-
-"
Total,"1 ,255.51 2 4.75 0 .39 - - 1 ,280.65",
Particulars,Outstanding for following periods from transaction date,Total
,"Less than 6 6 months - 1 1-2 years 2-3 years More than 3 years
Months year",
"Undisputed
- Considered good
- Significant increase in credit risk
- Credit impaired
Disputed
- Considered good
- Significant increase in credit risk
- Credit impaired","434.59 0.24 0.07 - -
- - - - -
- - - - -
- - - - -
- - - - -
- - - - -","434.90
-
-
-
-
-"
Total,4 34.59 0 .24 0 .07 - - 4 34.90,
Particulars,Outstanding for following periods from transaction date,Total
,"Less than 6 6 months - 1 1-2 years 2-3 years More than 3 years
Months year",
"Undisputed
- Considered good
- Significant increase in credit risk
- Credit impaired
Disputed
- Considered good
- Significant increase in credit risk
- Credit impaired","334.10 0.05 0.02 - -
- - - - -
- - - - -
- - - - -
- - - - -
- - - - -","334.17
-
-
-
-
-"
Total,3 34.10 0 .05 0 .02 - - 3 34.17,
