Particulars,"Amortized
cost","Fair value
through
profit or loss","Fair value
through other
comprehensive
income","Total carrying
value"
"Financial assets
Cash & cash equivalents
Trade receivables
Other financial assets","1 47.50
1 1.91
5 7.71","-
-
-","-
-
-","147.50
1 1.91
5 7.71"
Total,217.12,-,-,2 17.12
"Financial liabilities
Borrowings
Trade payables
Lease liabilties
Other financial liabilities","1 ,302.49
8 76.64
2 5.52
9 .64","-
-
-
-","-
-
-
-","1 ,302.49
876.64
2 5.52
9 .64"
Total,"2 ,214.29",-,-,"2,214.29"
Particulars,"Amortized
cost","Fair value
through
profit or loss","Fair value
through other
comprehensive
income","Total carrying
value"
"Financial assets
Cash & cash equivalents
Trade receivables
Other financial assets","3 90.20
1 .57
3 .94","-
-
-","-
-
-","390.20
1 .57
3 .94"
Total,395.71,-,-,3 95.71
"Financial liabilities
Borrowings
Trade payables
Lease liabilties
Other financial liabilities","9 06.50
3 24.82
2 .65
0 .44","-
-
-
-","-
-
-
-","906.50
324.82
2 .65
0 .44"
Total,"1 ,234.41",-,-,"1,234.41"
Particulars,"Amortized
cost","Fair value
through
profit or loss","Fair value
through other
comprehensive
income","Total carrying
value"
"Financial assets
Investments
Cash & cash equivalents
Other financial assets","-
1 1.98
6 6.71","9 .12
-
0 .01","-
-
-","9 .12
1 1.98
6 6.72"
Total,7 8.69,9 .13,-,8 7.82
"Financial liabilities
Trade payables
Other financial liabilities
Payable on account of common control transaction
(including applicable taxes on above - GST)","1 91.52
1 .34
1,670.96","-
0 .06
-","-
-
-","191.52
1 .40
1 ,670.96"
Total,"1 ,863.82",0 .06,-,"1,863.88"
Particulars,"Amortized
Cost","Fair Value
through
Profit or loss","Fair Value
through other
comprehensive
income","Total
Carrying
Value"
"Financial assets
Investments
Cash & cash equivalents
Other financial assets","-
1 0.66
6 3.42","1 0.41
-
-","-
-
-","1 0.41
1 0.66
6 3.42"
Total,7 4.08,1 0.41,-,8 4.49
"Financial liabilities
Trade payables
Other financial liabilities
Payable on account of common control transaction
(including applicable taxes on above - GST)","8 2.72
2 .10
1,670.96","-
0 .15
-","-
-
-","8 2.72
2 .25
1 ,670.96"
Total,"1 ,755.78",0 .15,-,"1,755.93"
