Name of shareholder,"September 30, 2025",
,Number of shares,% holding
"Equity shares
Govind Vishwanath Gadgil
Renu Vishwanath Gadgil
P. N. Gadgil & Sons Limited","69,75,000
69,75,000
42,07,500","31.90%
31.90%
19.24%"
Total,"1,81,57,500",83.04%
Name of shareholder,"March 31, 2025",
,Number of shares,% holding
"Equity shares
Govind Vishwanath Gadgil
Renu Vishwanath Gadgil
P. N. Gadgil & Sons Limited","15,50,000
15,50,000
9 ,35,000","31.90%
31.90%
19.24%"
Total,"40,35,000",83.04%
