"Totalequity(aspertheauditedfinancialstatements/auditedspecialpurposefinancial
statements)
Adjustments","1,203.08
-","1 ,001.91
-","( 284.96)
-","( 520.17)
-"
Total equity as per the restated statement of assets and liabilities,"1 ,203.08","1,001.91",(284.96),(520.17)
"Profit for the period (as per the audited financial statements/ audited special purpose
financial statements)
Adjustments",2 01.33,"594.74
-","424.14
-","517.47
-"
Restated profit for the period as per the restated statement of profit and loss,201.33,5 94.74,424.14,517.47
