Particulars,Reserves and surplus,,,"Other
comprehensive
income",Total
,Retained earnings,Securities premium,Capital reserve,"Remeasurement of
defined benefit
liability",
"Balance as at April 1, 2022
Add: Restated profit for the year
Add: Restated other comprehensive income / (loss), net of tax
Less: Profit apportioned to partner's capital account
Movement during the year
Balance as at March 31, 2023
Balance as at April 1, 2023
Add: Restated profit for the year
Add: Restated other comprehensive income / (loss), net of tax
Less: Profit apportioned to partner's capital account
Movement during the year
Balance as at March 31, 2024
Balance as at April 1, 2024
Add: Restated profit for the year
Add: Restated other comprehensive income / (loss), net of tax
Less: Profit apportioned to partner's capital account
Add: Issue of equity shares during the year
Movement during the year
Balance as at March 31, 2025
Balance as at April 01, 2025
Add: Profit for the period
Less:Utilised for Bonus Shares","-
5 17.47
-
(2.84)
-
514.63
514.63
4 24.14
-
(3.69)
-
935.08
935.08
5 94.74
-
(5.76)
-
-
1 ,524.06
1,524.06
2 01.33
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
8 87.41
-
8 87.41
887.41
-
(170.07)","(732.89)
-
-
-
(389.20)
(1,122.09)
(1,122.09)
-
-
-
(189.33)
(1,311.42)
(1,311.42)
-
-
-
-
( 150.04)
( 1,461.46)
(1,461.46)
-
-","-
-
0 .04
-
-
0 .04
0 .04
-
(0.10)
-
-
( 0.06)
( 0.06)
-
3 .37
-
-
-
3 .31
3 .31
(0.16)
-","(732.89)
5 17.47
0.04
(2.84)
(389.20)
(607.42)
(607.42)
4 24.14
(0.10)
(3.69)
(189.33)
(376.40)
( 376.40)
5 94.74
3 .37
( 5.76)
8 87.41
( 150.04)
9 53.32
953.32
2 01.17
(170.07)"
"Balance as at September 30, 2025","1,725.39",717.34,"(1,461.46)",3 .15,984.42
