"In restated statement of profit and loss :
Income tax expense:
In respect of current year/ period
Deferred tax:
On account of timing difference in
(i) Depreciation and amortisation expense
(ii) Employee benefits payable
(iii) Treatment of leases as per Ind As 116
(v) Pre-incorporation expenses
Income tax expense reported in the restated statement of profit and loss
In Other comprehensive income (OCI) :
Deferred tax related to items recognised in OCI during the year:
Income tax relating to items that will not be reclassified to profit or loss
Income tax charged to OCI","6 9.38
0.10
(2.20)
(0.41)
0.02","198.82
0.16
(1.42)
0.01
(0.22)","142.79
-
(0.17)
-
-","174.43
-
(0.12)
-
-"
,66.89,197.33,1 42.62,1 74.31
,0.05,(1.14),0 .04,(0.01)
,0.05,(1.14),0 .04,(0.01)
