Sr. No.,Ratios,Numerator,Denominator,"For the three
months period
ended
30 June 2025","Year ended on
31 March 2025","Year ended on
31 March 2024","Year ended on
31 March 2023","Variance %
June 2025 &
Mar 2025","Variance %
Mar 2025 &
Mar 2024","Variance %
Mar 2024 &
Mar 2023",Reason of variances
7,Trade Payables Turnover (in times) #,"Purchase of RM,PM
and TP","Average Trade
Payables",4.67,5.49,5.58,7.69,-14.86%,-1.69%,-27.42%,"FY24 vs FY23
The decrease is mainly due to decrease in
purchase"
8,"Net Capital Turnover Ratio (in
times)#",Sales of products,Working Capital,16.99,12.03,15.41,5.72,41.20%,-21.90%,169.16%,"June'25 vs FY25
Theincreaseismainlyduetoincreaseinfixed
deposits overdraft utilisation during the period
FY24 vs FY23
Theincreaseismainlyduetoincreaseinfixed
depositsoverdraftutilisationandcurrentmaturity
of term loan availed during the year 2024"
9,Net Profit Ratio (%),Net profit,Sales of products,13.35%,12.51%,8.94%,9.63%,6.74%,39.97%,-7.16%,"FY25 vs FY24
Increaseinnetprofitratioonaccountofhigher
revenue and better margins"
10,Return on Capital employed (%) *,"Earnings before
interest and taxes","Capital Employed :
Shareholders'Equity+
Long Term
Borrowings +Current
MaturityofLongTerm
Borrowings +
WorkingcapitalLoan-
Other Intangible
Assets-DeferredTax
Assets -Deferred Tax
Liabilities",11.28%,41.32%,31.19%,28.36%,-72.71%,32.46%,9.99%,"June'25 vs FY25
Returnoncapitalemployedisnotcomparableas
being June'25 ratio is not annualised
FY25 vs FY24
Increase in return on capital employed due to
increaseinearningsbeforeinterestandtaxeson
account of higher revenue and better margins"
11,Return on Investment (%),"Income from mutual
fund
Interest income from
fixed deposits","AverageInvestmentin
mutual fund
AverageInvestmentin
fixed deposits","-
7.18%","-
7.51%","3.40%
7.07%","3.60%
5.20%","-
-","-100.00%
6.25%","-5.45%
35.86%","FY25 vs FY24
During the period there was no investment in
mutual funds hence no mutual fund income
generated
FY24 vs FY23
The increase in the return on fixed deposit
investments is a result ofinvestingat a higher
interest rate"
