Particulars,Less than 12 month,1 to 5 years,More than 5 years,Total
"As at 30 June 2025
Short term borrowings
Long-term borrowings
Trade payables
Other financial liability
As at 31 March 2025
Short term borrowings
Long-term borrowings
Trade payables
Other financial liability
As at 31 March 2024
Short term borrowings
Long-term borrowings
Trade payables
Other financial liability
As at 31 March 2023
Short term borrowings
Long-term borrowings
Trade payables
Other financial liability","636.48
360.00
1,189.88
480.31","-
70.00
-
-","-
-
-
-","636.48
430.00
1,189.88
480.31"
,"2,666.67",70.00,-,"2,736.67"
,"106.95
360.00
1,435.23
47.71","-
160.00
-
-","-
-
-
-","106.95
520.00
1,435.23
47.71"
,"1,949.89",160.00,-,"2,109.89"
,"311.42
360.00
1,142.95
54.20","-
670.00
-
0.14","-
-
-
-","311.42
1,030.00
1,142.95
54.34"
,"1,868.57",670.14,-,"2,538.71"
,"23.31
-
943.70
79.93","-
-
-
4.91","-
-
-
-","23.31
-
943.70
84.84"
,"1,046.94",4.91,-,"1,051.85"
