Sr. No.,Ratios,Numerator,Denominator,"For the three
months period
ended
30 June 2025","Year ended on
31 March 2025","Year ended on
31 March 2024","Year ended on
31 March 2023","Variance %
June 2025 &
Mar 2025","Variance %
Mar 2025 &
Mar 2024","Variance %
Mar 2024 &
Mar 2023",Reason of variances
1,Current Ratio (in times),Current Assets,Current Liabilities,1.25,1.41,1.29,2.12,-11.74%,9.37%,-39.06%,"FY24 vs FY23
Currentratiohasreducedduetoincreaseinfixed
depositsoverdraftutilisationandcurrentmaturity
of term loan availed during the year."
2,Debt Equity Ratio (in times),"Totaldebt:Longterm
borrowings+ Short
term borrowings","Net worth : Equity
share capital + Other
equity",0.18,0.10,0.28,0.01,69.92%,-62.97%,4793.58%,"June 25 vs FY25
During the period, Debt Equity Ratio has
increasedmainlyduetoincreaseinfixeddeposits
overdraft utilisation
FY25 vs FY24
During the period, Debt Equity Ratio has
decreased on account of repayment of term loan
FY24 vs FY23
During the year 2024, Debt Equity Ratio has
increasedastheCompanyhasavailedtermloan
from bank"
3,"Debt Service Coverage Ratio (in
times)","(Profit after tax +
Depreciation and
amortisation+Interest
on debt and lease)","(Interest on debt and
lease + Principal
repayments of long
term debt including
lease payment)",4.90,3.09,1.44,2.88,58.57%,114.67%,-50.01%,"June'25 vs FY25
Debt Service Coverage Ratio has increased on
account of repayment of term loan
FY25 vs FY24
Debt Service Coverage Ratio has increased on
account of substantial repayment of term loan
FY24 vs FY23
DebtServiceCoverageRatiohasreducedasthe
Companyhasavailedtermloanfrombankduring
the year"
4,Return on Equity Ratio (%) *,Net profit after taxes,"Average shareholder's
equity",7.61%,27.50%,20.36%,23.29%,-72.31%,35.06%,-12.56%,"June'25 vs FY25
Return on equity is not comparable as being
June'25 ratio is not annualised
FY25 vs FY24
Increaseinreturnonequityratioduetoincrease
in net profit after taxes on account of higher
revenue and better margins"
5,Inventory Turnover (in times) #,Cost of Goods Sold,Average Inventories,2.12,2.08,2.23,2.35,1.97%,-6.75%,-5.35%,-
6,"Trade Receivables Turnover (in
times) #",Sales of products,"Average Trade
Receivables",10.28,10.95,10.83,10.94,-6.07%,1.05%,-0.92%,-
