"Security Deposit
Other receivable*
Total other financial assets","0 .60
1 04.61","0.60
25.78","-
-","-
-"
,1 05.21,26.38,-,-
"Trade deposits
Total other financial liabilities",-,-,0.14,4.91
,-,-,0.14,4.91
"Total outstanding dues of micro enterprises and small enterprises
Total outstanding dues of other than micro enterprises and small enterprises
Total trade payables","40.33
1,149.55","2 9.14
1 ,406.09","42.85
1,100.10","43.30
900.40"
,"1,189.88","1 ,435.23","1,142.95",943.70
