,No. of shares,Amount,No. of shares,Amount,No. of shares,Amount,No. of shares,Amount
"Equity shares of Rs. 10 each issued, subscribed and fully paid
Opening
Add: Conversion of CCNPS to equity [Refer note 18(b)(iii)]","6 ,11,60,088
-","611.60
-","6,11,60,088
-","611.60
-","6,11,60,088
-","611.60
-","5 ,10,51,000
1 ,01,09,088","5 10.51
1 01.09"
Closing,"6 ,11,60,088",611.60,"6,11,60,088",611.60,"6,11,60,088",611.60,"6 ,11,60,088",6 11.60
