,,,Interest cost,"Addition in
liability (on
account of new
lease contracts)",
"Long term borrowings (Including
current maturities)
Short term borrowings
Lease liabilities
Interest accrued
Total","1,030.00
311.42
248.13
-","(510.00)
( 204.47)
(46.86)
( 78.27)","-
-
23.08
82.97","-
-
11.01
-","5 20.00
1 06.95
2 35.36
4 .70"
,"1,589.55",(839.60),106.05,11.01,867.01
,,,Interest cost,"Addition in
liability (on
account of new
lease contracts)",
"Long term borrowings (Including
current maturities)
Short term borrowings
Lease liabilities
Interest accrued
Total","-
23.31
256.29
0.29","1 ,030.00
288.11
(42.45)
( 120.80)","-
-
23.86
120.51","-
-
10.43
-","1 ,030.00
3 11.42
2 48.13
-"
,279.89,"1,154.86",144.37,10.43,"1,589.55"
