Name of the shareholder,"As at
30 June 2025",,"As at
31 March 2025",,"As at
31 March 2024",,"As at
31 March 2023",
,"Number of
shares","% of holding
in the class","Number of
shares","% of holding in
the class","Number of
shares","% of holding in
the class","Number of
shares","% of holding in
the class"
"Equity shares of Rs.10 each fully
paid
Sepia Investments Limited
Mr.Ankur Kirtikumar Mehta
Mr.Nirav Kirtikumar Mehta
Dr.Kirtikumar Laxmidas Mehta
Kirtikumar Laxmidas Mehta (HUF)
Mrs.Deepa Nirav Mehta","1,58,96,342
1,34,58,000
1,34,58,000
1,34,52,500
-
13,19,900","25.99%
22.00%
22.00%
22.00%
-
2.16%","1,58,96,342
1,34,58,000
1,34,58,000
1,34,52,500
-
13,19,900","25.99%
22.00%
22.00%
22.00%
-
2.16%","1 ,58,96,342
9 9,94,963
7 8,36,763
3 6,52,583
1 ,23,33,563
4 1,91,319","25.99%
16.34%
12.81%
5.97%
20.17%
6.85%","1,58,96,342
99,94,963
78,36,763
36,52,583
1,23,33,563
41,91,319","25.99%
16.34%
12.81%
5.97%
20.17%
6.85%"
