"Deferred tax liability
Deferred tax asset","(1.92)
-","(43.01)
-","( 91.01)
-","-
3.17"
,(1.92),(43.01),( 91.01),3.17
"Current Tax
- Current tax
- (Excess) provision for tax relating to earlier periods/years
Deferred tax charge / (income)
Income tax expense reported in the statement of profit or loss","1 51.91
(8.86)","455.49
(7.51)","2 23.96
( 35.19)","262.75
-"
,"143.05
1.92","447.98
43.01","188.77
91.01","262.75
(3.17)"
,144.97,490.99,279.78,259.58
