Particulars,"Equity
component of
0.01%
Compulsory
Convertible
Non cumulative
Preference
Shares",Reserve and surplus,,Total
,,"Securities
Premium","Retained
earnings",
"Balance as at 1 April 2025
Profit for the period
Dividends*
Remeasurement of net defined employee benefit liability
(net of tax)","-
-
-
-","415.84
-
-
-","5,035.99
4 61.96
(447.08)
(8.07)","5,451.83
461.96
(447.08)
(8.07)"
Balance as at 30 June 2025,-,415.84,"5,042.80","5,458.64"
