Particulars,"Factory
Land",Building,"Plant &
Machinery","Electrifica
tion","Furnit
ure","Office
Equipments","Computer
System","Vehic
les",,Capital Work,,Total
,,,,,,,,,,in Progress,,
,,,,,,,,,,(Refer Note 33,,
,,,,,,,,,,for Ageing),,
