Annexure C,,
Sl. No.,Name of the subsidiary,Year/Period covered
1,"PT Fashnear Technologies
Indonesia","As at and for the year ended March 31, 2025"
2,"Fashnear Shenzhen Trading Co.
Ltd","For the period from April 01, 2024 to May 09, 2024 (date of
liquidation)"
