Name of the entity,Period Unaudited
"PT Fashnear Technology Indonesia (subsidiary of
the Holding Company)","As at and for the period ended September 30,
2024 and the years ended March 31, 2025,
March 31, 2024 and March 31, 2023"
"Fashnear Shenzhen Trading Co. Ltd (subsidiary of
the Holding Company)","For the period from April 01, 2024 to May 09,
2024 (liquidated w.e.f. May 09, 2024)"
