"Sl.
No.",Name of the subsidiary,"Name of the Other
Auditor",Year covered
1,"Fashnear Shenzhen Trading Co.
Ltd",AKGSR & Company,"As at and for the year ended March
31, 2023"
2,Meesho Inc,AKGSR & Company,"As at and for the year ended March
31, 2023"
