,Original,,Revised classification,Accounting treatment
,classification,,,
,,,,"fair value. Consequently, the asset is measured as if
it had always been measured at amortised cost."
FVTPL,,,FVTOCI,"Fair value at reclassification date becomes its new
carrying amount. No other adjustment is required."
FVTOCI,,,FVTPL,"Assets continue to be measured at fair value.
Cumulative gain or loss previously recognized in OCI
is reclassified from equity to profit or loss the
reclassification date."
