,(₹ in million,,,,,,,,,,,,,,,)
Particulars,,,Six months period ende,,,,"d
0",Fiscal,,,,,,,,
,,,September 3,,,,,,,,,,,,,
,,,202,5,,202,4,,202,5,,202,4,,202,3
"Segment revenue –
Marketplace",,"55,739.09",,,"43,092.46",,,"93,858.74",,,"76,137.44",,,"57,337.27",,
"Segment revenue – New
Initiatives",,36.29,,,20.41,,,40.29,,,14.04,,,7.92,,
