,(₹ in million,,,,,,,,,,,,,,,)
Particulars,,,Six months period ende,,,,"d
0",Fiscal,,,,,,,,
,,,September 3,,,,,,,,,,,,,
,,,202,5,,202,4,,202,5,,202,4,,202,3
"Adjusted EBITDA –
Marketplace(1)",,"(5,191.33)",,,64.50,,,"(1,166.65)",,,"(1,491.61)",,,"(15,989.90)",,
"Adjusted EBITDA – New
Initiatives(2)",,(301.14),,,(547.85),,,(928.59),,,(668.60),,,(908.85),,
