Name of the entity in the group,"Net assets i.e. total assets minus
liabilities",,Share in profit or loss,,Share in other comprehensive income,,Share in total comprehensive income,
,"As % of consolidated
net assets",Amount,"As % of consolidated
profit or loss",Amount,"As % of other
consolidated
comprehensive income",Amount,"As % of total
comprehensive
income",Amount
"Parent
Meesho Limited (formerly known as Meesho Private
Limited/Fashnear Technologies Private Limited)
Indian Subsidiaries
Meesho Payments Private Limited
Foreign Subsidiaries
PT Fashnear Technology Indonesia, Indonesia
Fashnear Shenzhen Trading Co. Ltd, China
Consolidation adjustments/ eliminations","100.10%
0.25%
0.02%
0.01%
(0.38%)","24,743.06
60.58
5.70
3.22
(93.41)","99.95%
0.06%
0.01%
0.04%
(0.06%)","(16,710.38)
(9.40)
(1.73)
(6.03)
8.52","100.66%
-
0.02%
0.00%
(0.68%)","1,084.35
-
0.25
0.02
(7.34)","99.90%
0.06%
0.01%
0.04%
(0.01%)","(15,626.03)
(9.40)
(1.49)
(6.01)
1.19"
Total,100.00%,"24,719.15",100.00%,"(16,719.02)",100.00%,"1,077.28",100.00%,"(15,641.74)"
