Particulars,"Six months period ended September 30,",,,,,,,,,Fiscal,,,,,,,,,,
,2025,,,,2024,,,,,202,,5,,2024,,,,202,,3
,₹ in million,,% of,s,"₹ in
million",,% o,"f
e
s","₹ in
million",₹ in,"% of Revenue
from operations",,"₹ in
million",₹ in,"% of Revenue
from operations",,"₹ in
million",₹ in,"% of Revenue
from operations",
,,,Revenue,,,,Revenu,,,million,,,,million,,,,million,,
,,,from,,,,from,,,,,,,,,,,,,
,,,operation,,,,operation,,,,,,,,,,,,,
"Segment revenue
– Marketplace","55,739.09",99.93%,,,"43,092.46",99.95% (1),,,"93,858.74",,99.96(1),,"76,137.44",,99.98(1),,"57,337.27",,99.99(1),
"Segment revenue
– New Initiatives",36.29,0.07% (2),,,20.41,0.05% (2),,,40.29,,0.04(2),,14.04,,0.02(2),,7.92,,0.01(2),
"Revenue from
operations","55,775.38",100.00,,,"43,112.87",100.00,,,"93,899.03",,100.00,,"76,151.48",,100.00,,"57,345.19",,100.00,
