"Shares held by promoters at the end of the period September 30, 2024",,,"% Change during
the period"
Promoter name,No. of Shares,% of total shares,
ICICI Bank Limited,"9 0,02,573",51%,-
Prudential Corporation Holdings Limited,"8 6,49,517",49%,-
Total,"1 ,76,52,090",100%,
