Particulars,"As at March 31, 2023",,
,"Present value of
obligation","Fair value of plan
asset",Net amount
Opening Balance,391.5,380.7,10.8
Current service cost,4 2.9,-,42.9
Interest on asset,1 9.9,2 0.1,( 0.2)
Total amount recognised in Profit and Loss,62.8,20.1,42.7
"Return on plan assets, excluding amounts included in interest
expense/(income)",-,4.4,(4.4)
(Gain)/loss from change in demographic assumptions,-,-,-
(Gain)/loss from change in financial assumptions,(20.4),-,(20.4)
(Gain)/loss on account of experience changes,29.9,-,29.9
Total amount recognised in Other Comprehensive Income,9.5,4.4,5.1
Employer Contributions,-,10.8,(10.8)
Benefit Payments,(41.3),(41.3),-
Liabilities assumed/Asset acquired,(0.0),(0.0),-
Closing Balance,422.5,374.7,47.8
