Particulars,"As at
September 30, 2025","As at
September 30, 2024","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
Opening Balance,"33,159.9","26,818.9","2 6,818.9","21,121.1","1 8,164.7"
Add: Profit for the period / year,"16,177.4","1 3,271.1","26,506.6","20,497.3","15,157.8"
Less: Interim Dividend,"(12,091.7)","(9,355.6)","( 20,123.4)","(14,774.8)","(12,197.6)"
Add: Other Comprehensive Income,(39.5),(21.1),(42.2),(24.7),(3.8)
Closing Balance,"37,206.1","30,713.3","3 3,159.9","26,818.9","2 1,121.1"
