Nature of Fixed Assets,"Management Estimate of Useful Life
(in years)",,Useful life as per the limits prescribed,
,,,"in Schedule II of the Companies Act,",
,,,2013 (in years),
Office building,60,60,,
Furniture and fixtures,6,10,,
Computers – (servers and networks),3,6,,
Office equipment,3-10,5,,
Vehicles,5,8,,
