As at (cid:10)March 3,"1, 2024",Note,"Less than 12
months","More than 12
months",Total
"Trade and other payable
Other financial liabilities",,"13
14","1,150.5
1,644.4","65.2
2,114.5","1,215.7
3,758.9"
Total,,,"2,794.9","2,179.7","4,974.6"
