"Intangible assets under
development ageing schedule As
at March 31, 2025","Amount in Intangible Assets under Development for
a period of",,,,Total
,"Less than 1
year",1-2 years,2-3 years,"More than 3
years",
Projects in progress,45.6,-,-,-,45.6
Projects temporarily suspended,-,-,-,-,-
