Particulars,"As at
April 1,
2022","Movement
in Profit
and Loss","As at
March 31,
2023","Movement
in Profit
and Loss","As at
March 31,
2024","Movement
in Profit
and Loss","As at
September
30, 2024","As at
April 1,
2024","Movement
in Profit
and Loss","As at
March 31,
2025","Movement
in Profit
and Loss","As at
September
30, 2025"
"Fair value of financial instruments through
Profit and Loss",(353.6),150.7,(202.9),(379.7),(582.6),(352.9),(935.5),(582.6),(267.2),(849.8),(185.2),"(1,035.0)"
Total,(353.6),150.7,(202.9),(379.7),(582.6),(352.9),(935.5),(582.6),(267.2),(849.8),(185.2),"(1,035.0)"
