"CWIP Ageing Schedule As at
March 31, 2023",Amount in CWIP for a period of,,,,Total
,"Less than 1
year",1-2 years,2-3 years,"More than 3
years",
Projects in progress,48.7,-,-,-,48.7
Projects temporarily suspended,-,-,-,-,-
