Particulars,Sep-25,Sep-24,Mar-25,Mar-24,Mar-23
"Short–term employee
benefits",111.7,107.3,1 56.0,142.0,133.8
Post–employment benefits,1.7,1.7,3.4,3.3,4.0
"Employee share-based
payment",75.6,70.6,1 41.5,145.2,139.2
Total,189.0,179.6,300.9,290.5,277.0
