"Intangible assets under
development ageing schedule As
at September 30, 2024","Amount in Intangible Assets under Development for
a period of",,,,Total
,"Less than 1
year",1-2 years,2-3 years,"More than 3
years",
Projects in progress,57.4,7.6,0 .1,0.5,65.6
Projects temporarily suspended,-,-,-,-,-
