"As at September 30, 2025","Less than 12
months",,,More than 12,,Total,
,,,,months,,,
,(₹ in million),,,,,,
Trade and other payable,"1,887.6",,114.5,,,"2,002.1",
Other financial liabilities,"1,832.8",,"2,335.9",,,"4,168.7",
Total,"3,720.4",,"2,450.4",,,"6,170.8",
