Particulars,"As at
September 30,
2025","As at
September 30,
2024","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
Provision for employee benefits,,,,,
"Provision for compensated absence
(refer note 32- (a))",157.1,112.7,128.4,107.4,89.3
"Provision for Gratuity (refer note 32-
(c))",8 4.0,68.3,112.8,81.1,47.8
Total,241.1,181.0,241.2,188.5,137.1
