As at(cid:10) Septem,"ber 30, 2024",Note,"Less than 12
months","More than 12
months",Total
"Trade and other payable
Other financial liabilities",,"13
14","1,491.1
1,588.5","54.1
2,299.0","1,545.2
3,887.5"
Total,,,"3,079.6","2,353.1","5,432.7"
