"Assets measured at fair value - recurring fair
value measurements",Note,Level 1,Level 2,Level 3,Total
"Financial assets
Financial Investments at FVTPL
- Mutual fund
- Open ended
- Close ended*
- Venture Capital Fund (Close ended)
- Alternative Investment Funds
- Open ended
- Close ended
- Debt Securities
- Equity Instruments
- Real Estate Investment Trust (REIT)",6,"2 1,847.9
565.1","172.0
418.8
4,004.6
3,578.6","-
116.9
215.2","21,847.9
172.0
-
418.8
4,121.5
3,578.6
215.2
565.1"
Total financial assets,,"22,413.0","8,174.0",332.1,"30,919.1"
