Particulars,Six-months period ended,,As at and for the,,
,"September 30,","September 30,
2024",Financial Year,"Financial Year
ended March
31, 2024 (in ₹
million)",Financial Year
,2025,,ended March,,ended March
,,,"31, 2025 (in ₹",,"31, 2023 (in ₹"
,,,million),,million)
Profit before Tax,"21,494.8","17,880.9","35,330.5","26,981.1","20,071.7"
Less:-,,,,,
Interest Income,324.9,284.1,679.3,575.4,443.8
Dividend Income,5.9,4.3,10.6,14.3,6.7
Net gain on fair value changes,"1,833.5","2,424.3","2,255.6","3,233.6","1,031.2"
Other Income,2.3,0.3,23.4,29.8,8.3
Operating profit before tax,"19,328.2","15,167.9","32,361.6","23,128.0","18,581.7"
