Particulars,Fair value,,,"Significant
unobservable
inputs",Probability-weighted range,,,Sensitivity,,
,"As at
March 31,
2025","As at
March 31,
2024","As at
March 31,
2023",,"As at
March 31,
2025","As at
March 31,
2024","As at
March 31,
2023","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
Venture Capital Fund,-,-,1 1.6,"Net Asset Value
(NAV)",NA,NA,0.9x - 1.1x,NA,NA,"A10%increaseintheNAVwould
increase the carrying value of
Investments by 1.2 Mn. A 10%
decrease in the NAV would
decrease the carrying value of
investment by 1.2 Mn."
"Alternative Investment
Fund",185.8,1 49.1,2 01.1,"Net Asset Value
(NAV)",0.9x - 1.1x,0.9x - 1.1x,0.9x - 1.1x,"A10%increaseintheNAVwould
increase the carrying value of
Investments by 18.6 Mn. A 10%
decrease in the NAV would
decrease the carrying value of
investment by 18.6 Mn.","A 10% increase in the NAV would
increase the carrying value of
Investments by 14.9 Mn. A 10%
decreaseintheNAVwoulddecrease
the carrying valueofinvestmentby
14.9 Mn.","A10%increaseintheNAVwould
increase the carrying value of
Investments by 20.1 Mn. A 10%
decrease in the NAV would
decrease the carrying value of
investment by 20.1 Mn."
Equity Instruments,213.6,2 15.2,2 15.2,Valuation Factor,10% - 20%,10% - 20%,10% - 20%,"A 10% increase in the Valuation
factorwouldincreasethecarrying
valueofInvestmentsby21.4Mn.A
10% decrease in the Valuation
factorwoulddecreasethecarrying
value of investment by 21.4 Mn.","A 10% increase in the Valuation
factor would increase the carrying
valueofInvestmentsby21.5Mn.A
10% decrease in the Valuation factor
woulddecreasethecarryingvalueof
investment by 21.5 Mn.","A 10% increase in the Valuation
factorwouldincreasethecarrying
valueofInvestmentsby21.5Mn.
A10%decreaseintheValuation
factor would decrease the
carrying value of investment by
21.5 Mn."
