Name of the statute,Nature of dues,"Gross Amount
(` in million)","Amount paid
under Protest
(` in million)","Period to which the
amount relates","Forum where dispute is
pending","Remarks, if
any"
"Service Tax Act,1994",Service Tax,1.9,-,"April 2011 to March
2013","Custom, Excise & Service
Tax Appellate Tribunal",-
"TheCentralGoodsandServicesTax
Act, 2017 (Karnataka)",GST,57.4,-,"July 2017 to March
2018","Deputy Commissioner of
Commercial Taxes",-
"TheCentralGoodsandServicesTax
Act, 2017 (Maharashtra)",GST,3.2,-,"April 2019 to March
2020","Deputy Commissioner of
Commercial Taxes",-
"TheCentralGoodsandServicesTax
Act, 2017",GST,451.3,65.0,"July 2017 to October
2018","Deputy Commissioner of
Commercial Taxes",-
"TheCentralGoodsandServicesTax
Act, 2017",GST,0.1,-,"April 2020 to March
2021","Deputy Commissioner of
Commercial Taxes",-
