As at (cid:10)March 3,"1, 2023",Note,"Less than 12
months","More than 12
months",Total
"Trade and other payable
Other financial liabilities",,"13
14","789.6
1,238.7","56.6
1,678.4","846.2
2,917.1"
Total,,,"2,028.3","1,735.0","3,763.3"
