"CWIP Ageing Schedule As at
September 30, 2024",Amount in CWIP for a period of,,,,Total
,"Less than 1
year",1-2 years,2-3 years,"More than 3
years",
Projects in progress,"2,572.3",-,-,-,"2,572.3"
Projects temporarily suspended,-,-,-,-,-
