As at(cid:10) Septem,"ber 30, 2025",Note,"Less than 12
months","More than 12
months",Total
"Trade and other payable
Other financial liabilities",,"13
14","1,887.6
1,832.8","114.5
2,335.9","2,002.1
4,168.7"
Total,,,"3,720.4","2,450.4","6,170.8"
