"Intangible assets under
development ageing schedule As
at March 31, 2024","Amount in Intangible Assets under Development for
a period of",,,,Total
,"Less than 1
year",1-2 years,2-3 years,"More than 3
years",
Projects in progress,32.5,0.3,0.5,-,33.3
Projects temporarily suspended,-,-,-,-,-
