Year,Revenue,Profit,TotalAssets,TotalLiabilities,Equity,TotalDebt,DebtEquityRatio,NetProfitMargin,ROA,RevenueGrowth,ProfitGrowth
2023,31.0,-18.0,31.0,62.0,-31.0,4.38,,-58.06451612903226,-58.06451612903226,,
2024,31.0,-18.0,31.0,62.0,-31.0,0.96,,-58.06451612903226,-58.06451612903226,0.0,0.0
2025,31.0,-18.0,31.0,62.0,-31.0,0.26,,-58.06451612903226,-58.06451612903226,0.0,0.0
