Year,Revenue,Profit,TotalAssets,TotalLiabilities,Equity,TotalDebt
2023,31.0,-18.0,31.0,62.0,-31.0,4.38
2024,31.0,-18.0,31.0,62.0,-31.0,0.96
2025,31.0,-18.0,31.0,62.0,-31.0,0.26
