Items requiring significant estimate,Assumption and estimation uncertainty
"Useful lives of property, plant and
equipment and Intangible assets","The Group reviews the estimated useful lives of property, plant and equipment and the intangible assets at the end of each reporting period. During
the current year, there has been no change in life considered for the assets"
"Estimation of net realisable value of
inventories","Inventories are stated at the lower of cost and net realisable value. In estimating the net realisable value of inventories the Group makes an estimate
of future selling prices and costs necessary to make the sale. At the end of each reporting year, the Company assess the potential usage of inventories
held and judgements are involved in assessing the alternate usage and realisability of inventories."
"Fair valuation measurement and valuation
process","Some of the Group’s assets and liabilities are measured at fair value for financial reporting purposes. In estimating the fair value of an asset or a
liability, the Group uses market- observable data to the extent it is available. Where Level 1 inputs are not available, the Group engages third party
qualified valuers to perform the valuation. Finance team works closely with the qualified external valuers to establish the appropriate valuation
techniques and inputs to the model."
Employees benefits,"The Group uses actuarial assumptions to determine the obligations for employee benefits at each reporting date. These assumptions include the
discount rate, expected long-term rate of return on plan assets, rate of increase in compensation levels and mortality rates."
"Provisions, contingencies - Recognition and
measurement of provisions and
contingencies; key assumptions about the
likelihood and magnitude of an outflow of
resources","The Group has ongoing litigations with various regulatory authorities and third parties. Where an outflow of funds is believed to be probable and a
reliable estimate of the outcome of the dispute can be made based on management’s assessment of specific circumstances of each dispute and
relevant external advice, management provides for its best estimate of the liability. Such accruals are by nature complex and can take number of
years to resolve and can involve estimation uncertainty. Information about such litigations is disclosed in the notes to the consolidated financial
statements"
Loss allowance for trade receivables,"Loss allowance for trade receivables with no significant financing component is measured at an amount equal to lifetime expected credit losses. For
all other financial assets, ECL are measured at an amount equal to the 12-month ECL,unless there has been a significant increase in credit risk from
initial recognition in which case those are measured at lifetime ECL."
Provision for taxes,"Significant judgments are required in determining the provision for income taxes, including the amount expected to be paid/ recovered for uncertain
tax positions. In assessing the realisability of deferred income tax assets, the Management considers whether some portion or all of the deferred
income tax assets will not be realised. The ultimate realisation of deferred income tax assets is dependent upon the generation of future taxable
income during the periods in which the temporary differences become deductible. The amount of deferred income tax assets considered realisable,
however, could be reduced in the near term if estimates of future taxable income during the carry forward period are reduced."
