"Period /
Year ended","As reported
earlier","As reported in
restated financial
information",Difference
"March 31, 2024
March 31, 2024
March 31, 2024
March 31, 2023
March 31, 2023
March 31, 2023","14,323
4,209
3,431
13,339
3,467
3,048","14,000
4,303
3,660
13,299
3,333
3,222","323
(94)
(229)
40
134
(174)"
"March 31, 2023
March 31, 2023","167
392
-","123
101
335","44
291
(335)"
"March 31, 2023
March 31, 2023","7
-","-
7","7
(7)"
"March 31, 2023
March 31, 2023
March 31, 2023
March 31, 2023
March 31, 2023
March 31, 2023","12
-
-
34
17
4","45
17
4
-
-
-","(33)
(17)
(4)
34
17
4"
"March 31, 2025
March 31, 2025
March 31, 2025
March 31, 2025
March 31, 2024
March 31, 2024
March 31, 2024
March 31, 2024
March 31, 2023
March 31, 2023
March 31, 2023
March 31, 2023","504
353
1,200
3,474
396
496
1,778
3,194
-
812
2,374
950","505
649
965
3,281
548
741
1,536
2,652
132
1,099
1,514
2,626","(1)
(296)
235
193
(152)
(245)
242
542
(132)
(287)
860
(1,676)"
"March 31, 2025
March 31, 2024
March 31, 2023","910
512
829","971
1,008
1,043","(61)
(496)
(214)"
"March 31, 2023
March 31, 2023
March 31, 2023
March 31, 2023
March 31, 2023
March 31, 2023","15,243
512
158
93
153
107","15,261
494
169
78
169
95","(18)
18
(11)
15
(16)
12"
"March 31, 2025
March 31, 2025","704
4,831","1,472
4,063","(768)
768"
Year ended,"As reported
earlier","As reported in
restated financial
information",Difference
"March 31, 2024
March 31, 2023
March 31, 2023
March 31, 2024
March 31, 2024","1,411
4,282
501
5,184
634","1,376
4,196
517
5,089
603","35
86
(16)
95
31"
"March 31, 2025",3,23,(20)
