Year,Revenue,Profit,TotalAssets,TotalLiabilities,Equity,TotalDebt
2023,5.0,53.4,,,70.0,1267.7
2024,926.1,54.5,28047.6,4917.0,23130.6,1498.6
2025,1666.8,53.2,35540.9,6712.5,28828.4,1721.2
